SHR,560,448.53,557.6,586.11,511.99,525.73
GLH,485,595.72,484.28,514.74,489.52,559.71
ENA,565,565.95,680.23,350.31,617.71,595.31
PKB,640,642.72,511.83,573.18,559.03,624.26
FMN,515,516.89,510.45,612.3,350.54,564.36
MSL,365,363.42,379.21,589.72,587.27,499.90
VCT,600,598.46,631.31,499.1,451.28,505.34
CKB,525,526.45,505.11,572.34,555.78,528.57
SPN,515,513.28,1306.92,521.14,585.39,582.57
TBN,155,155.06,465.71,199.02,538.3,625.55
LBF,590,588.28,515,396.73,402.29,593.02
GCK,620,621.08,524.29,667.15,505.89,393.14
DVL,490,490.88,582.97,638.83,515.57,532.14
AOO,530,532.18,426.29,478.23,545.45,491.13
YAK,585,586.38,359.16,584.75,450.05,521.93
JMS,550,549.16,600.91,417.16,442.25,550.20
UIN,745,746.36,488.76,608.53,489.19,612.65
BFF,490,489.3,525.71,594.89,441.97,650.79
LAR,510,508.37,524.92,560.6,535.66,587.82
HYS,480,481.35,585.75,672.03,532.75,378.26
AKN,465,463.21,763.41,496.9,583.88,569.09
MWA,460,461.43,461.25,523.2,456.91,871.67
DLG,575,574.49,698.82,632.11,852.84,679.90
JHW,580,581.69,448.65,568.9,584.95,540.34
CGI,550,547.57,494.7,425.48,564.79,605.00
LBL,610,607.88,536.4,451.6,832.82,400.19
AUG,245,245.55,461.81,449.27,568.89,564.85
ALS,385,383.71,603.88,451.53,429.71,658.89
HOM,690,687.17,668.71,665.82,538.14,507.46
VDZ,440,440.36,708.36,243.74,882.32,640.27
SDP,565,563.67,909.8,496.38,502.92,441.78
LEB,520,520.85,479.45,484.95,504.92,379.57
IRK,640,642.31,341.22,547.51,632.49,610.65
BFD,385,386.12,562.06,637.55,482.83,557.90
WYS,540,538.04,225.03,712.66,469.56,467.70
CDB,665,665.38,815.41,612.18,336.35,842.55
PVU,1085,1086.58,238.16,673.78,546.5,496.74
TEX,965,965.21,571.77,443.23,359.11,598.44
LNS,555,555.74,418.5,478.14,752.92,371.67
BKW,550,550.52,444.7,537.75,1378.69,564.06
HGR,485,484.5,460.55,423.04,419,336.00
VEL,440,441.37,549.14,471.12,367.83,567.94
CEZ,405,403.88,495.32,389.08,466.75,720.47
RUT,560,560.53,554.18,564.57,535.05,674.73
ART,465,463.29,588.63,457.83,478.45,478.07
DDC,400,399.88,477.59,535.78,423.16,806.27
AIA,710,708.73,578.52,572.14,1090.68,428.07
TVF,395,394.6,529.38,974.9,561.37,540.64
MSS,250,248,420.82,480.5,496,509.64
WRL,630,632.75,598,740.47,532.94,639.92
CDR,460,457.92,491.26,477.11,816.88,678.33
SOW,630,627.55,467.06,500.84,366.12,347.83
CNY,640,642.18,399.41,567.05,616.8,480.55
RKD,520,519.4,511.35,594.28,484.07,563.36
OGS,980,980.11,510.5,821.29,484.15,564.82
HYA,695,696,356.13,473.29,457.31,517.50
MCK,980,978.89,501.4,453.19,981.69,922.60
FKL,595,596.56,503.36,450,695.15,531.70
SLK,540,537.13,432.31,427,872.77,678.90
UTM,990,990.38,208.75,530.73,482,363.10
GBD,580,581.38,494.33,638,600.36,1108.00
PVC,875,874.25,595.64,569.64,487.6,995.50
PGA,575,573.57,654.73,938.43,594.67,514.00
SDY,745,744.33,555.18,848.64,807.89,545.75
ADK,485,483.33,1013.8,683,486.67,532.00
MKK,445,443.17,643.3,590.69,533.5,499.57
JHM,540,510.17,907.89,472.23,551.88,868.43
GDV,410,412.4,796.63,536.55,455.71,646.33
CNM,870,872.8,466,510.6,1013.57,682.33
LNY,480,478,651.38,561.38,429.57,535.00
